User_ID,Gender,Age,Location,Product_Browsing_Time,Total_Pages_Viewed,Items_Added_to_Cart,Total_Purchases
1,Female,23,Ahmedabad,60,30,1,0
2,Male,25,Kolkata,30,38,9,4
3,Male,32,Bangalore,37,13,5,0
4,Male,35,Delhi,7,20,10,3
5,Male,27,Bangalore,35,20,8,2
6,Male,31,Kolkata,34,47,5,4
7,Female,22,Delhi,13,14,3,0
8,Female,25,Pune,42,24,10,2
9,Male,33,Mumbai,21,18,5,5
10,Female,18,Bangalore,12,43,2,5
11,Female,30,Ahmedabad,31,15,9,5
12,Male,21,Delhi,25,35,10,1
13,Female,23,Bangalore,10,27,0,2
14,Male,26,Bangalore,42,22,0,3
15,Male,32,Kolkata,37,44,5,0
16,Female,35,Ahmedabad,60,7,8,5
17,Female,22,Bangalore,37,7,10,4
18,Male,22,Mumbai,19,33,6,0
19,Male,32,Kolkata,18,13,2,4
20,Male,25,Ahmedabad,38,36,4,3
21,Male,21,Delhi,14,30,7,5
22,Female,28,Kolkata,45,44,9,1
23,Female,21,Mumbai,16,29,1,1
24,Female,27,Ahmedabad,59,17,4,5
25,Male,32,Hyderabad,27,26,6,0
26,Male,25,Ahmedabad,22,42,5,0
27,Male,27,Delhi,23,39,10,0
28,Male,21,Pune,44,27,8,5
29,Female,21,Chennai,41,7,3,4
30,Female,29,Hyderabad,40,26,3,4
31,Male,32,Bangalore,42,31,10,0
32,Female,18,Kolkata,59,18,10,2
33,Female,18,Chennai,19,28,10,5
34,Female,20,Delhi,10,40,10,2
35,Female,30,Mumbai,14,49,3,1
36,Male,35,Chennai,28,46,8,5
37,Female,28,Chennai,13,47,7,3
38,Male,26,Kolkata,43,14,6,5
39,Female,32,Pune,38,50,7,1
40,Female,35,Chennai,46,29,8,2
41,Female,19,Hyderabad,55,32,7,4
42,Male,29,Pune,43,23,4,5
43,Female,23,Delhi,58,36,10,0
44,Male,29,Pune,10,17,1,0
45,Female,29,Ahmedabad,18,47,3,2
46,Female,26,Delhi,47,11,3,5
47,Female,32,Kolkata,39,47,7,2
48,Female,28,Kolkata,46,13,6,3
49,Female,21,Delhi,18,26,0,2
50,Male,28,Chennai,21,28,3,5
51,Female,30,Ahmedabad,17,8,5,2
52,Male,26,Delhi,8,20,10,2
53,Female,30,Kolkata,37,10,3,1
54,Male,26,Ahmedabad,17,47,7,4
55,Male,23,Mumbai,43,10,1,0
56,Female,32,Chennai,56,29,2,2
57,Female,26,Chennai,39,33,1,0
58,Male,20,Kolkata,33,40,9,2
59,Female,24,Mumbai,38,38,6,4
60,Male,21,Hyderabad,12,15,6,0
61,Female,35,Mumbai,7,9,5,1
62,Female,33,Bangalore,35,50,9,0
63,Female,20,Delhi,16,48,3,1
64,Male,32,Pune,33,7,3,4
65,Female,25,Bangalore,22,50,10,0
66,Male,25,Bangalore,29,14,5,0
